x,y,sector,region,value,indicator,date,category,GDP,Employment,Inflation,Trade
1.764052345967664,1.8831506970562544,Finance,Outer London,544,Inflation,2020-01-01,B,-0.17492683958487812,-0.09659091000807614,0.9190377839371061,0.8111372412210285
0.4001572083672233,-1.3477590611424464,Health,Outer London,915,Inflation,2020-01-02,B,1.2008190918095023,-0.06256848780924995,2.08668923673476,-0.0923152933772502
0.9787379841057392,-1.2704849984857336,Tech,Outer London,204,Inflation,2020-01-03,A,1.3545044408431193,0.2671191542199777,1.858696626818215,-0.0889496326976331
2.240893199201458,0.9693967081580112,Health,Outer London,740,GDP,2020-01-04,C,2.638511588994409,0.9718410469937095,1.6146659914067798,0.3398765900368085
1.8675579901499675,-1.17312340511416,Tech,Outer London,494,Employment,2020-01-05,B,1.698453437261179,1.9521647642089188,1.5215111086022581,-1.2048347856652337
-0.977277879876411,1.9436211856492926,Finance,Outer London,427,Employment,2020-01-06,C,0.009677311556455903,1.5447291817697062,1.3493405315662603,-2.742431991309079
0.9500884175255894,-0.41361898075974735,Tech,Outer London,706,Inflation,2020-01-07,B,2.1912462492171825,2.3017873165005627,0.671126104878559,-2.083706421035255
-0.1513572082976979,-0.7474548114407578,Tech,Outer London,618,Inflation,2020-01-08,C,2.9916322072352135,3.2309971089159495,0.4213478461010809,-1.1422428330872187
-0.10321885179355784,1.9229420264803847,Health,Inner London,785,Inflation,2020-01-09,A,3.761771132974793,1.799606250848761,1.9789167687525375,-0.8161447443825534
0.41059850193837233,1.4805147914344243,Health,Inner London,345,Employment,2020-01-10,C,1.5563644063833344,2.791013717880368,2.7216733357540415,-0.18062551363606505
0.144043571160878,1.8675589604265699,Finance,Inner London,514,Employment,2020-01-11,A,1.915838992317633,1.044836696331125,2.2779104220171495,-1.5879158586314577
1.454273506962975,0.9060446582753853,Tech,Inner London,627,Employment,2020-01-12,C,1.1617054112253098,1.3336058726285471,1.3143368597909806,-1.8726529288518665
0.7610377251469934,-0.8612256850547025,Finance,Outer London,269,Inflation,2020-01-13,A,0.05270077804505924,1.3786651083511858,2.20351560412926,-0.6848662767541964
0.12167501649282841,1.9100649530990337,Finance,Outer London,266,Inflation,2020-01-14,A,-0.750232893893303,0.21380261195793793,3.440769796217545,0.08689637694574337
0.44386323274542566,-0.2680033709513804,Finance,Outer London,409,Employment,2020-01-15,C,0.12390060055622854,-0.3818986330283668,3.6162974308809113,-0.018502385539694993
0.33367432737426683,0.8024563957963952,Health,Outer London,694,Inflation,2020-01-16,B,0.2589572288351164,-1.6477987676186752,4.755741913350222,2.4841430627212544
1.4940790731576061,0.947251967773748,Finance,Inner London,491,GDP,2020-01-17,A,2.073706000042497,-0.4188444971109184,4.789726565835581,2.7469386897698556
-0.20515826376580087,-0.1550100930908342,Tech,Outer London,320,Employment,2020-01-18,C,3.5580716884447425,-1.3873917818936792,3.956952586205882,2.394405392278966
0.31306770165090136,0.6140793703460803,Finance,Inner London,933,Employment,2020-01-19,A,4.015480540463433,-3.128940066672782,5.245686483285631,3.5683059231917884
